Are you Playing Online Games?,How much time spend in gaming?,When do you play the game most of the time during the day?,Do you feel Hamper in sleep?,Do  you feel the Headache?,Do you feel mental Stress?,Do you feel Depression?,Your reading attention level after the gaming?,Your Present Academic Result? 
Sometimes,<1 hour,Mid-Night,Sometimes,Sometimes,Yes,Yes,Good,Good
Yes,1-2 hours,Mid-Night,Sometimes,Yes,No,Yes,Good,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Good,Good
Sometimes,1-2 hours,Evening,No,Sometimes,Yes,Yes,Average,Average
Yes,1-2 hours,Mid-Night,Sometimes,Sometimes,No,Sometimes,Average,Good
No,<1 hour,Afternoon,No,No,No,No,Good,Average
Sometimes,1-2 hours,Afternoon,Sometimes,No,Sometimes,Sometimes,Average,Good
Sometimes,<1 hour,Evening,Yes,Yes,Sometimes,Sometimes,Average,Good
Yes,3-4 hours,Mid-Night,No,No,No,Yes,Excellent,Average
Yes,>5 hours,Mid-Night,No,Yes,Sometimes,Sometimes,Bad,Average
Yes,<1 hour,Evening,No,No,No,No,Excellent,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Average,Good
No,<1 hour,Mid-Night,Yes,Yes,Sometimes,No,Bad,Bad
Yes,1-2 hours,Evening,Yes,Yes,Sometimes,Sometimes,Bad,Average
Yes,1-2 hours,Evening,Sometimes,Sometimes,Yes,Sometimes,Good,Excellent
Yes,<1 hour,Mid-Night,Sometimes,No,No,Yes,Average,Good
No,<1 hour,Mid-Night,No,No,Yes,Yes,Excellent,Average
Sometimes,<1 hour,Mid-Night,No,No,No,No,Good,Good
Sometimes,<1 hour,Afternoon,No,No,No,No,Excellent,Good
No,<1 hour,Mid-Night,Yes,Yes,Yes,Yes,Excellent,Excellent
Sometimes,<1 hour,Afternoon,No,No,Yes,No,Average,Average
Yes,<1 hour,Mid-Night,No,No,Yes,Yes,Good,Good
Yes,<1 hour,Evening,Yes,No,Yes,Yes,Average,Average
Sometimes,1-2 hours,Evening,Sometimes,No,Sometimes,No,Average,Good
Yes,<1 hour,Evening,No,No,No,No,Good,Good
Yes,<1 hour,Mid-Night,No,No,No,No,Good,Good
Yes,3-4 hours,Mid-Night,Sometimes,Sometimes,Yes,Yes,Good,Average
Yes,1-2 hours,Mid-Night,Yes,Sometimes,Yes,Yes,Bad,Average
Yes,1-2 hours,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Good,Average
Sometimes,<1 hour,Evening,No,Sometimes,Yes,Yes,Excellent,Good
Sometimes,<1 hour,Afternoon,No,No,Sometimes,No,Average,Excellent
No,<1 hour,Evening,Yes,Yes,Yes,Yes,Bad,Average
Sometimes,1-2 hours,Mid-Night,Sometimes,No,Sometimes,No,Bad,Good
Yes,>5 hours,Mid-Night,No,No,Sometimes,Sometimes,Average,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Good,Good
Yes,<1 hour,Mid-Night,No,Sometimes,No,Yes,Good,Good
Yes,3-4 hours,Mid-Night,No,No,Sometimes,Sometimes,Excellent,Average
Sometimes,<1 hour,Afternoon,No,No,No,No,Good,Good
Sometimes,<1 hour,Evening,No,No,No,No,Good,Good
Yes,3-4 hours,Mid-Night,Yes,Yes,Yes,Yes,Bad,Average
Yes,3-4 hours,Mid-Night,Yes,Yes,No,Yes,Average,Good
Sometimes,<1 hour,Mid-Night,Yes,Yes,Yes,Yes,Excellent,Excellent
Yes,1-2 hours,Mid-Night,No,No,No,No,Average,Good
Yes,<1 hour,Mid-Night,Sometimes,Yes,Yes,Yes,Average,Average
Yes,1-2 hours,Evening,No,No,No,No,Average,Average
Sometimes,<1 hour,Mid-Night,No,No,Yes,Yes,Average,Good
Yes,1-2 hours,Afternoon,No,No,No,No,Average,Average
Yes,1-2 hours,Mid-Night,No,No,No,No,Good,Excellent
Yes,<1 hour,Evening,Sometimes,Sometimes,Sometimes,No,Average,Good
Sometimes,1-2 hours,Evening,No,Yes,Yes,Yes,Average,Good
Sometimes,<1 hour,Evening,Yes,Yes,Yes,Yes,Average,Good
No,<1 hour,Evening,No,No,No,No,Average,Bad
Yes,<1 hour,Mid-Night,Yes,Sometimes,Sometimes,No,Good,Good
No,<1 hour,Evening,No,No,Sometimes,Sometimes,Average,Good
No,<1 hour,Morning,No,Sometimes,No,No,Average,Average
Yes,<1 hour,Afternoon,Yes,Yes,Yes,No,Average,Average
Sometimes,<1 hour,Afternoon,Sometimes,Sometimes,Sometimes,Sometimes,Average,Good
Sometimes,>5 hours,Evening,No,No,Sometimes,Sometimes,Average,Good
Yes,1-2 hours,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Average,Average
Yes,3-4 hours,Mid-Night,No,No,No,Yes,Excellent,Excellent
Yes,<1 hour,Mid-Night,Yes,Sometimes,Yes,Yes,Excellent,Average
Yes,3-4 hours,Evening,Sometimes,No,No,No,Good,Good
Yes,<1 hour,Mid-Night,Sometimes,Yes,No,Sometimes,Excellent,Average
Yes,3-4 hours,Evening,No,No,No,No,Good,Excellent
Yes,1-2 hours,Afternoon,No,Sometimes,No,Sometimes,Average,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Good,Good
Yes,1-2 hours,Mid-Night,Sometimes,No,No,No,Average,Excellent
Yes,1-2 hours,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Good,Good
Yes,1-2 hours,Mid-Night,No,No,Sometimes,Sometimes,Average,Average
Yes,1-2 hours,Evening,No,No,No,No,Average,Good
Yes,3-4 hours,Mid-Night,No,No,No,No,Average,Average
Sometimes,<1 hour,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Average,Good
Yes,1-2 hours,Mid-Night,No,Yes,Yes,Yes,Average,Excellent
Sometimes,<1 hour,Afternoon,No,No,No,No,Good,Good
Yes,1-2 hours,Evening,No,No,No,No,Average,Average
Yes,1-2 hours,Mid-Night,Sometimes,Sometimes,Sometimes,Yes,Average,Average
No,>5 hours,Evening,No,No,No,Sometimes,Bad,Average
Yes,1-2 hours,Evening,No,No,No,No,Good,Good
Yes,1-2 hours,Mid-Night,No,No,No,No,Average,Average
No,1-2 hours,Afternoon,No,No,No,No,Average,Good
Sometimes,<1 hour,Mid-Night,Sometimes,Yes,Yes,Yes,Good,Good
Sometimes,>5 hours,Mid-Night,Yes,Yes,Sometimes,Sometimes,Bad,Good
No,<1 hour,Evening,Yes,Yes,No,No,Good,Good
Yes,<1 hour,Mid-Night,No,Yes,Sometimes,Sometimes,Average,Average
Yes,<1 hour,Mid-Night,Sometimes,Yes,Sometimes,Sometimes,Bad,Good
Yes,<1 hour,Evening,No,No,No,No,Average,Average
Yes,1-2 hours,Evening,No,Yes,No,No,Average,Excellent
Yes,3-4 hours,Afternoon,Sometimes,Sometimes,Sometimes,Sometimes,Good,Good
Sometimes,3-4 hours,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Good,Good
Yes,>5 hours,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Excellent,Good
No,<1 hour,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Excellent,Excellent
No,<1 hour,Evening,No,No,No,No,Average,Good
Sometimes,1-2 hours,Mid-Night,Sometimes,Sometimes,Sometimes,No,Good,Excellent
No,<1 hour,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Average,Average
Yes,<1 hour,Afternoon,No,Yes,Yes,Yes,Good,Good
Yes,<1 hour,Evening,Yes,Yes,Yes,Yes,Bad,Good
Yes,3-4 hours,Mid-Night,Yes,Yes,Yes,Yes,Average,Good
Sometimes,<1 hour,Evening,No,Sometimes,Sometimes,No,Average,Good
Sometimes,<1 hour,Evening,Yes,No,No,No,Good,Good
Yes,3-4 hours,Mid-Night,No,Sometimes,No,No,Average,Good
Yes,3-4 hours,Evening,No,Sometimes,No,No,Excellent,Average
Yes,<1 hour,Evening,Sometimes,Yes,No,Sometimes,Good,Good
Yes,1-2 hours,Mid-Night,No,No,Sometimes,Sometimes,Good,Good
No,<1 hour,Evening,Sometimes,Sometimes,Sometimes,No,Average,Average
Yes,<1 hour,Evening,No,No,Yes,Yes,Average,Good
Yes,1-2 hours,Mid-Night,No,No,Yes,Yes,Excellent,Good
Yes,3-4 hours,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Good,Average
Yes,>5 hours,Mid-Night,No,No,Sometimes,No,Good,Excellent
Yes,3-4 hours,Mid-Night,No,Sometimes,No,No,Average,Average
Sometimes,<1 hour,Evening,No,Sometimes,Sometimes,Sometimes,Good,Average
Yes,1-2 hours,Evening,No,Sometimes,Yes,Sometimes,Excellent,Average
Sometimes,<1 hour,Mid-Night,No,Yes,No,No,Average,Good
Yes,1-2 hours,Mid-Night,No,No,No,Sometimes,Good,Average
Sometimes,<1 hour,Evening,No,Sometimes,No,No,Good,Excellent
Yes,<1 hour,Evening,No,Yes,No,No,Good,Good
Yes,<1 hour,Mid-Night,No,Sometimes,Sometimes,Sometimes,Excellent,Excellent
Sometimes,1-2 hours,Afternoon,No,No,Sometimes,No,Average,Good
Yes,<1 hour,Evening,Sometimes,Yes,Yes,Yes,Good,Good
Yes,3-4 hours,Mid-Night,No,No,No,No,Good,Good
Sometimes,<1 hour,Evening,Sometimes,Sometimes,Sometimes,Sometimes,Good,Good
Yes,1-2 hours,Afternoon,No,No,No,Yes,Average,Good
Yes,1-2 hours,Mid-Night,No,No,Yes,No,Excellent,Excellent
Yes,1-2 hours,Afternoon,No,No,No,No,Average,Excellent
Yes,1-2 hours,Afternoon,No,Sometimes,Yes,Yes,Average,Excellent
No,<1 hour,Mid-Night,Yes,Yes,Yes,Yes,Good,Excellent
No,<1 hour,Mid-Night,No,No,No,No,Average,Good
No,<1 hour,Mid-Night,Sometimes,Yes,Yes,Sometimes,Bad,Good
Sometimes,<1 hour,Mid-Night,No,Yes,Yes,Yes,Average,Good
Yes,1-2 hours,Mid-Night,Yes,Yes,Yes,No,Average,Good
Yes,3-4 hours,Mid-Night,No,Yes,Yes,Yes,Good,Excellent
Yes,<1 hour,Evening,No,Yes,Yes,Yes,Good,Good
Sometimes,<1 hour,Evening,No,Yes,Sometimes,Sometimes,Average,Average
Sometimes,<1 hour,Evening,Sometimes,Yes,Yes,Sometimes,Average,Good
Yes,1-2 hours,Mid-Night,Yes,No,No,No,Good,Good
No,1-2 hours,Afternoon,Sometimes,Sometimes,Yes,Yes,Average,Good
Yes,1-2 hours,Evening,No,No,No,No,Average,Good
Yes,3-4 hours,Mid-Night,Yes,Sometimes,Yes,No,Excellent,Average
No,<1 hour,Mid-Night,Sometimes,Sometimes,Sometimes,Sometimes,Average,Good
No,1-2 hours,Afternoon,Sometimes,Sometimes,Sometimes,Sometimes,Average,Good
Yes,<1 hour,Evening,No,No,No,No,Excellent,Excellent
Yes,1-2 hours,Mid-Night,No,No,Sometimes,Sometimes,Average,Excellent
Yes,1-2 hours,Evening,Sometimes,Sometimes,No,No,Good,Good
Yes,1-2 hours,Evening,Sometimes,Yes,Yes,Sometimes,Good,Good
No,<1 hour,Evening,No,No,No,No,Good,Good
Yes,<1 hour,Afternoon,No,Yes,No,No,Good,Good
Yes,1-2 hours,Afternoon,Yes,Yes,No,No,Bad,Average
Yes,1-2 hours,Afternoon,No,No,No,Yes,Good,Good
Yes,<1 hour,Evening,No,No,Sometimes,Sometimes,Good,Good
Yes,1-2 hours,Mid-Night,No,No,No,Sometimes,Average,Average
